ID,Name,CertRootType,CertRootValue,CertPublisher
ID_SIGNER_TRUST_ASIA,上海域联软件技术有限公司,TBS,232A71B4D1734EAC2CFC6EA554C86DE34F9F8B72,
ID_SIGNER_JEROMIN_CODY_ERIC,Jeromin Cody Eric,TBS,DFA6171201B51A2EC174310E8FB9F4C0FDE2D365235E589DED0213C5279BEA6E,
ID_SIGNER_SAASAME,SaaSaMe Ltd.,TBS,A86DE66D8198E4272859881476A6F9936034A482,
ID_SIGNER_JCOS_1,JCOS Media srvnetbus,TBS,06530FA1FA2D0954A87C4AA1891699E7C81AB2CA,
ID_SIGNER_JCOS_2,JCOS Media pshedmp,TBS,8A3994CC7AA70F5480166A96A32EB10BAB0A7A36,
ID_SIGNER_VOIDTOOLS,voidtools (Thumbprint: 4DA2AD938358643571084F75F21AFDDD15D4BAE9),TBS,2AAA2A578BDEB2F1DBAAE27B6358B87D14143B7FA98518A6AC576172677225AC,
ID_SIGNER_PCTOOLS_1,VeriSign Class 3 Code Signing 2009-2 CA,TBS,4CDC38C800761463749C3CBD94A12F32E49877BF,PC Tools
ID_SIGNER_PCTOOLS_2,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,PC Tools
ID_SIGNER_PCTOOLS_3,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,PC Tools
ID_SIGNER_HERMETICWIPER_1,DigiCert Assured ID Code Signing CA-1,TBS,47F4B9898631773231B32844EC0D49990AC4EB1E,"CHENGDU YIWO Tech Development Co., Ltd."
ID_SIGNER_HERMETICWIPER_2,Symantec Class 3 Extended Validation Code Signing CA - G2,TBS,B3C925B4048C3F7C444D248A2B101186B57CBA39596EB5DCE0E17A4EE4B32F19,"Chengdu Yiwo Tech Development Co., Ltd."
ID_SIGNER_HERMETICWIPER_3,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,"CHENGDU YIWO Tech Development Co., Ltd."
ID_SIGNER_HERMETICWIPER_4,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,"CHENGDU YIWO Tech Development Co., Ltd."
ID_SIGNER_NVIDIA_2007,Leaked 2007 NVIDIA Corporation Verisign Class 3 Code Signing 2004 CA,TBS,80854F578E2A3B5552EA839BA4F98DDFE94B2381,
ID_SIGNER_NVIDIA_2011,Leaked 2011 NVIDIA Corporation Verisign Class 3 Code Signing 2010 CA,TBS,15C37DBEBE6FCC77108E3D7AD982676D3D5E77F7,
ID_SIGNER_NVIDIA_2015,Leaked 2015 NVIDIA Corporation Verisign Class 3 Code Signing 2010 CA,TBS,F049A238763D4A90B148AB10A500F96EBF1DC436,
ID_SIGNER_VBOX_ORCALE,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,Oracle Corporation
ID_SIGNER_VBOX_SUN,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,"Sun Microsystems, Inc."
ID_SIGNER_GPUZ_1,GlobalSign Primary Object Publishing CA,TBS,041750993D7C9E063F02DFE74699598640911AAB,techPowerUp
ID_SIGNER_GPUZ_2,GlobalSign Primary Object Publishing CA,TBS,879269F3F467A6D59641960A62FE9CB419355FF6,TechPowerUp
ID_SIGNER_ZEMANA_1,DigiCert High Assurance Code Signing CA-1,TBS,1D7E838ACCD498C2E5BA9373AF819EC097BB955C,Zemana Ltd.
ID_SIGNER_ZEMANA_2,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,Zemana Ltd.
ID_SIGNER_ZEMANA_3,Microsoft Windows Third Party Component CA 2014,TBS,D8BE9E4D9074088EF818BC6F6FB64955E90378B2754155126FEEBBBD969CF0AE,
ID_SIGNER_FILSECLAB,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,Filseclab Corporation
ID_SIGNER_NICHETECH,"Niche Technology, LLC (Thumbprint: 3F169455CB6E3AA41758018BF77C76BD5FAB90F5)",TBS,825181BD24428CF03C069B973C01BDF9F6D0291FD7F51F452C6C90F5EE73571C,
ID_SIGNER_CVM_SOFT_1,Microsoft Windows Third Party Component CA 2014,TBS,D8BE9E4D9074088EF818BC6F6FB64955E90378B2754155126FEEBBBD969CF0AE,
ID_SIGNER_CVM_SOFT_2,GlobalSign Extended Validation CodeSigning CA - SHA256 - G3,TBS,15E7050789DF807F3E3174294A01B637A1239F603E42F4B5DB9398EFA9DA9996,CVM Software Solutions Ltd.
ID_SIGNER_CVM_SOFT_3,GlobalSign Code Signing Root R45,TBS,FEC727AF43D1569995CEA26E8EB97167165842A5B185304425A92C03B71254C5D51222837515F33E60CB8ED2E8C625BA,CVM Software Solutions Ltd.
ID_SIGNER_CVM_SOFT_4,GlobalSign,TBS,BD1765C56594221373893EF26D97F88C144FB0E5A0111215B45D7239C3444DF7,CVM Software Solutions Ltd.
ID_SIGNER_ARTIFICIAL_SOFT,Artificial Software BV,TBS,67B8386FFC9811CEAD5D88882EE2BD4DB6B516C1542ECB1FC9B8ADA932BFE8D9,
ID_SIGNER_CLEVERSOAR,GlobalSign,TBS,DE1DA11668F0A8D5E13346ED3AB2755F5D25BEBFFCFD1D0BDE5B9F87BC292C91,"CleverSoar Electronic Technology Co., Ltd."
ID_SIGNER_STOPZILLA,"iS3, Inc.",TBS,967C2149FE1B6B5E943E379E3EEBE6348854257F,
