ID,FriendlyName,FileName,Authentihash,FileHash,b64FileHash,MinimumFileVersion,MaximumFileVersion,InternalName,ProductName
ID_DENY_DIRECTIO_39,PassMark DirectIo.sys Hash Sha256,DirectIo.sys,2FB5D7E6DB01C9090BBA92ABF580D38993E02CE9357E08FE1F224A9B18056E5A,,,,,,
ID_DENY_DIRECTIO_3A,PassMark DirectIo.sys Hash Sha1,DirectIo.sys,AE806CA05E141B71664D9C6F20CC2369EF26F996,,,,,,
ID_DENY_DIRECTIO_3B,PassMark DirectIo.sys Hash Sha1,DirectIo.sys,D0559503988DAA407FCC11E59079560CB456BB84,,,,,,
ID_DENY_DIRECTIO_42,DirectIO32\035b96ff8b85d312be0f9df6271714392a802ec8bab59ae8229812ddc67ced5a Hash Sha1,DirectIO32.sys,59C8F056DEA50A4B6F6F63E50037089965568910,035B96FF8B85D312BE0F9DF6271714392A802EC8BAB59AE8229812DDC67CED5A,A1uW/4uF0xK+D532JxcUOSqALsi6tZroIpgS3cZ87Vo=,,,,
ID_DENY_DIRECTIO_43,DirectIO32\035b96ff8b85d312be0f9df6271714392a802ec8bab59ae8229812ddc67ced5a Hash Sha256,DirectIO32.sys,2FB5D7E6DB01C9090BBA92ABF580D38993E02CE9357E08FE1F224A9B18056E5A,035B96FF8B85D312BE0F9DF6271714392A802EC8BAB59AE8229812DDC67CED5A,A1uW/4uF0xK+D532JxcUOSqALsi6tZroIpgS3cZ87Vo=,,,,
ID_DENY_DIRECTIO_44,DirectIO32\035b96ff8b85d312be0f9df6271714392a802ec8bab59ae8229812ddc67ced5a Hash Page Sha1,DirectIO32.sys,76F561B94050F02639B216A27D221DCE66135A43,035B96FF8B85D312BE0F9DF6271714392A802EC8BAB59AE8229812DDC67CED5A,A1uW/4uF0xK+D532JxcUOSqALsi6tZroIpgS3cZ87Vo=,,,,
ID_DENY_DIRECTIO_45,DirectIO32\035b96ff8b85d312be0f9df6271714392a802ec8bab59ae8229812ddc67ced5a Hash Page Sha256,DirectIO32.sys,2C75CAEE18ECB8F6A3B41EF6CE13A65D847BC912423AB095CE760979D8D8E3B4,035B96FF8B85D312BE0F9DF6271714392A802EC8BAB59AE8229812DDC67CED5A,A1uW/4uF0xK+D532JxcUOSqALsi6tZroIpgS3cZ87Vo=,,,,
ID_DENY_DIRECTIO_46,DirectIO32\0be4912bfd7a79f6ebfa1c06a59f0fb402bd4fe0158265780509edd0e562eac1 Hash Sha1,DirectIO32.sys,956C004DBED19D2682F159E03D4FAA3E2E8FC56C,0BE4912BFD7A79F6EBFA1C06A59F0FB402BD4FE0158265780509EDD0E562EAC1,C+SRK/16efbr+hwGpZ8PtAK9T+AVgmV4BQnt0OVi6sE=,,,,
ID_DENY_DIRECTIO_47,DirectIO32\0be4912bfd7a79f6ebfa1c06a59f0fb402bd4fe0158265780509edd0e562eac1 Hash Sha256,DirectIO32.sys,A8492A553EE840235FD12FA47B6CAF1E5A8C82C3F4B681921246D7F192ED9126,0BE4912BFD7A79F6EBFA1C06A59F0FB402BD4FE0158265780509EDD0E562EAC1,C+SRK/16efbr+hwGpZ8PtAK9T+AVgmV4BQnt0OVi6sE=,,,,
ID_DENY_DIRECTIO_48,DirectIO32\0be4912bfd7a79f6ebfa1c06a59f0fb402bd4fe0158265780509edd0e562eac1 Hash Page Sha1,DirectIO32.sys,08B00DD47D591EE66BC89CFFA424EDC7A9D2F880,0BE4912BFD7A79F6EBFA1C06A59F0FB402BD4FE0158265780509EDD0E562EAC1,C+SRK/16efbr+hwGpZ8PtAK9T+AVgmV4BQnt0OVi6sE=,,,,
ID_DENY_DIRECTIO_49,DirectIO32\0be4912bfd7a79f6ebfa1c06a59f0fb402bd4fe0158265780509edd0e562eac1 Hash Page Sha256,DirectIO32.sys,533C0CFEA1AF366C116F563D24F1D0845F6619330E2655BDD12CEF97E99B7F52,0BE4912BFD7A79F6EBFA1C06A59F0FB402BD4FE0158265780509EDD0E562EAC1,C+SRK/16efbr+hwGpZ8PtAK9T+AVgmV4BQnt0OVi6sE=,,,,
ID_DENY_DIRECTIO_4A,DirectIO32\12d5a3d3f3226839c446bb5f7f2aa8dd7593d2bac8dd0d101d1c95145d10b01e Hash Sha1,DirectIO32.sys,7AE9EB8FC6B922524C0A571AAA006731B5CD4F0B,12D5A3D3F3226839C446BB5F7F2AA8DD7593D2BAC8DD0D101D1C95145D10B01E,EtWj0/MiaDnERrtffyqo3XWT0rrI3Q0QHRyVFF0QsB4=,,,,
ID_DENY_DIRECTIO_4B,DirectIO32\12d5a3d3f3226839c446bb5f7f2aa8dd7593d2bac8dd0d101d1c95145d10b01e Hash Sha256,DirectIO32.sys,FCA8E921D56DF22EE5A9C9FCE349385F4C8C5D490A880CB65DD01F8F13D73510,12D5A3D3F3226839C446BB5F7F2AA8DD7593D2BAC8DD0D101D1C95145D10B01E,EtWj0/MiaDnERrtffyqo3XWT0rrI3Q0QHRyVFF0QsB4=,,,,
ID_DENY_DIRECTIO_4C,DirectIO32\12d5a3d3f3226839c446bb5f7f2aa8dd7593d2bac8dd0d101d1c95145d10b01e Hash Page Sha1,DirectIO32.sys,397D2707C1AE3FB2921278CF9ABA87160D4BBD6D,12D5A3D3F3226839C446BB5F7F2AA8DD7593D2BAC8DD0D101D1C95145D10B01E,EtWj0/MiaDnERrtffyqo3XWT0rrI3Q0QHRyVFF0QsB4=,,,,
ID_DENY_DIRECTIO_4D,DirectIO32\12d5a3d3f3226839c446bb5f7f2aa8dd7593d2bac8dd0d101d1c95145d10b01e Hash Page Sha256,DirectIO32.sys,EF081F46B22B000E24A64FB82439950F76350844B6276E3BD0409CD2114A6A58,12D5A3D3F3226839C446BB5F7F2AA8DD7593D2BAC8DD0D101D1C95145D10B01E,EtWj0/MiaDnERrtffyqo3XWT0rrI3Q0QHRyVFF0QsB4=,,,,
ID_DENY_DIRECTIO_4E,DirectIO32\16461fe1855e4cb4a5e3203f98a69376ad2dc8f69f1d43463206fdd6784b7fbf Hash Sha1,DirectIO32.sys,A48F4D7F1B02DACD4EB4FD51745765FCDB4BA0DE,16461FE1855E4CB4A5E3203F98A69376AD2DC8F69F1D43463206FDD6784B7FBF,FkYf4YVeTLSl4yA/mKaTdq0tyPafHUNGMgb91nhLf78=,,,,
ID_DENY_DIRECTIO_4F,DirectIO32\16461fe1855e4cb4a5e3203f98a69376ad2dc8f69f1d43463206fdd6784b7fbf Hash Sha256,DirectIO32.sys,FF8FDB301AD9AA29DCA21E43BA7946AF92E980C6CA448A58DD3EFE4D9BD336AE,16461FE1855E4CB4A5E3203F98A69376AD2DC8F69F1D43463206FDD6784B7FBF,FkYf4YVeTLSl4yA/mKaTdq0tyPafHUNGMgb91nhLf78=,,,,
